hash,annotator,understand,purpose,bfc,bpc,prc,nfc,specification,asc,obvious,safety,timing,memory,info,safety_exp,time,see_commit_clicked,lore_clicked,lore_founded,is_merge_commit,is_part_patchset,lore_found
f6e109a0af,Michel,4,Change comments,0,0,4,0,0,0,,,,,,,33.203165769577026,True,True,,False,False,True
590a8e564c,Michel,4,Fixed a bug where the same information could be sent twice.,4,3,0,0,0,0,0.0,4.0,,,4.0,repetition of information,467.5569906234741,True,True,,False,False,False
a5e9e202fe,Michel,4,Add property to doc,0,0,4,3,0,0,,,,,,,34.19662618637085,True,True,,False,True,True
8551ed70dd,Michel,4,Change mantainers file,0,0,1,0,0,0,,,,,,,33.15313529968262,True,True,,False,False,False
831f87424d,Michel,4,Refactor code,0,0,4,0,0,0,,,,,,,39.33648729324341,True,True,,False,True,True
63c34cb4c6,Michel,4,Add new helper,0,0,0,4,0,0,,,,,,,60.81187200546265,True,True,,False,False,False
f51debc256,Michel,4,Translate file,0,0,4,0,0,0,,,,,,,44.74649429321289,True,True,,False,True,True
5a5866c28b,Michel,4,Changes at doc,0,0,4,0,0,0,,,,,,,37.35872030258179,True,True,,False,True,True
89c30dd221,Michel,4,Changes at doc,0,0,4,0,0,0,,,,,,,28.770069360733032,True,True,,False,False,True
7cb29b1c99,Michel,4,Changes at testing,0,0,4,0,0,0,,,,,,,35.14332127571106,True,True,,False,False,False
4dc84c06a3,Michel,4,Extend functionality,0,0,1,4,4,0,,,,,,,48.356648206710815,True,True,,False,True,True
c6c1f11b69,Michel,4,Just an improvement/refactor,0,3,4,0,0,0,,,,,,,78.54988241195679,False,True,,False,False,False
0bd5ab511e,Michel,4,Improve code/refactor,0,0,4,0,0,4,,,,,,,43.55312085151672,True,True,,False,True,True
6fd1d51cfa,Michel,4,New socket option added,0,0,3,4,0,0,,,,,,,56.74823617935181,True,True,,False,False,True
fd3040b939,Michel,4,Add new driver support,0,0,0,4,2,0,,,,,,,31.751857042312626,True,True,,False,False,True
7b8b82224c,Michel,4,Remove no-necessary code,1,0,4,0,0,0,0.0,0.0,,,,,47.70751714706421,True,True,,False,False,True
1397af5bfd,Michel,4,Remove no-necessary code / refactor,0,0,4,0,0,0,,,,,,,28.57589745521545,False,True,,False,True,True
3128ea0169,Michel,4,Increase a variable to accept rx frames,1,0,2,3,0,0,0.0,2.0,,,,,71.2102918624878,True,True,,False,True,True
abba345311,Michel,3,Move config. I don't know the impact of the change,3,3,2,0,0,0,0.0,0.0,,,,,89.62388300895691,True,True,,False,False,True
d1ddc536df,Michel,3,Allow overide a device ,0,1,0,3,0,0,,,,,,,72.77728247642517,True,True,,False,True,True
e950329880,Michel,4,Silence a warning,0,0,3,0,0,0,,,,,,,36.03328990936279,True,True,,False,True,True
9b80ccda23,Michel,4,Looks like a regression fix related to a lock,4,0,0,0,0,0,0.0,3.0,4.0,,,It's related to a lock,79.93485832214355,True,True,,False,False,True
0255571a16,Michel,4,Change the access to de CPU using a lib,0,0,4,0,0,0,,,,,,,56.71928143501282,True,True,,False,True,True
12aeaaba08,Michel,4,Update doc,0,0,4,0,0,0,,,,,,,36.55277752876282,True,True,,False,False,False
d8fc085509,Michel,4,Copy a useful data to logger,0,0,4,0,0,0,,,,,,,92.2547414302826,True,True,,False,True,True
081e8432ad,Michel,4,Remove doc,0,0,3,0,0,0,,,,,,,8121.319671630859,True,True,,False,False,True
f2701e0ffd,Michel,4,Change doc,0,0,4,0,0,0,,,,,,,26.090314865112305,True,True,,False,True,True
cc2f2df48a,Michel,4,Change doc,0,0,4,0,0,0,,,,,,,25.57765293121338,True,True,,False,True,True
4194442daf,Michel,4,Change variables to const,0,1,4,0,0,0,,,,,,,36.84363508224487,True,True,,False,True,True
16a54d4ee7,Michel,4,Change print function,0,0,4,0,0,0,,,,,,,38.41055154800415,True,True,,False,False,False
5c190e5394,Michel,3,Looks like a refactor,0,0,4,0,0,0,,,,,,,213.0228977203369,True,True,,False,False,False
e9b67ec2d3,Michel,4,Refactor imports,0,0,4,0,0,0,,,,,,,49.07418203353882,True,True,,False,True,True
618f5df1f6,Michel,4,Change a warn,0,0,4,0,0,0,,,,,,,40.475563287734985,True,True,,False,False,True
a90b8fc9ca,Michel,3,Looks like a fix based on a specification,3,0,2,2,4,0,2.0,0.0,,,,,137.40480184555054,True,True,,False,True,True
b76ecff831,Michel,4,Add a warning,0,0,4,0,0,0,,,,,,,35.14650130271912,True,True,,False,True,True
fb197474ed,Michel,4,Add new config + remove deprecate done,0,0,4,4,0,0,,,,,,,46.80720043182373,True,True,,False,True,True
a772105cfa,Michel,4,Update declaraion order to fit a specification,0,0,4,0,4,0,,,,,,,49.94842076301575,True,True,,False,True,True
0f12a22f37,Michel,4,"Add a necessary flush, maybe to avoid posible errors",3,4,2,2,0,0,0.0,2.0,,,,,74.33828687667847,True,True,,False,True,True
60f6fe665e,Michel,2,Add sanity check?,1,3,2,2,0,0,0.0,0.0,,,,,545.355635881424,True,True,,False,False,False
72907bff3b,Michel,3,Adds new support,0,0,0,4,0,0,,,,,,,180.40978169441223,True,True,,False,True,True
09570c5010,Michel,4,Code is refactored in anticipation of further changes.,0,1,4,0,0,0,,,,,,,63.11932110786438,True,True,,False,True,True
50a7d025ca,Michel,4,A refactor,0,0,4,0,0,0,,,,,,,45.86596202850342,True,True,,False,True,True
f716113aac,Michel,4,Add validation,1,3,3,0,0,0,0.0,0.0,,,,,56.38260221481323,True,True,,False,True,True
17edb8e1e3,Michel,4,Only changes in comments,0,0,4,0,0,0,,,,,,,35.255671977996826,True,True,,False,True,True
6a47a16dce,Michel,4,Just a refactor for return values of some functions,0,0,4,0,0,0,,,,,,,57.76943278312683,True,True,,False,False,True
e20b77c14b,Michel,3,Domain names are changed to the current ones,0,0,4,0,4,0,,,,,,,68.20100736618042,True,True,,False,True,True
fb4f4f4256,Michel,4,Fix a memory leak,4,0,0,0,0,0,0.0,4.0,,4.0,,Memory leak,32.840407609939575,False,False,,False,False,False
6f3c9dbb65,Michel,4,Fix null pointer,4,0,0,0,0,0,2.0,0.0,,,,,118.7341694831848,False,True,,False,False,True
65b462fc7e,Michel,3,Enable access to registers,0,0,1,3,0,0,,,,,,,139.31640696525574,True,True,,False,True,True
8da1170a16,Michel,4,Add support for ip block,0,0,0,4,0,0,,,,,,,35.35242438316345,False,True,,False,True,True
cae5c1ab05,Michel,4,Remove redundant code,0,0,4,0,0,0,,,,,,,30.10133385658264,True,True,,False,True,True
2fc092d4c7,Michel,2,"It's a fix, but i don't undestand the propose exactly",4,0,0,0,0,0,0.0,2.0,,,,,87.33459067344666,True,True,,False,False,True
0ef882074e,Michel,4,New func,0,0,0,4,0,0,,,,,,,48.83682274818421,True,True,,False,True,True
9995c1d096,Michel,3,Add variable to keep a state,1,3,3,1,0,0,0.0,0.0,,,,,623.954484462738,True,True,,False,True,True
80890c5ea0,Michel,4,Users are allowed to switch databases if there are no records.,0,0,3,3,0,0,,,,,,,66.28090953826904,True,True,,False,False,True
1e029397d1,Michel,4,Refactoring,0,0,4,0,0,0,,,,,,,42.0250678062439,True,True,,False,False,True
5099478e43,Michel,4,Change config to avoid compatibility issues,0,4,1,0,0,0,,,,,,,57.370901107788086,True,True,,False,True,True
82806744fd,Michel,4,Fix a bug related to max mapping size,4,0,0,0,0,0,0.0,4.0,,4.0,,Could lead a memory error on system boot up,141.33203411102295,True,True,,False,False,True
e730558adf,Michel,3,Fix an inconsitency,4,0,0,0,0,0,0.0,3.0,,,4.0,As is related to files cound be Exchange of Info,151.47786402702332,True,True,,False,True,True
537f8ffbdf,Michel,4,Update/refactor,0,0,4,1,0,0,,,,,,,41.161033153533936,True,True,,False,False,True
73ab99aad5,Michel,3,Changes in config file,0,0,3,1,0,0,,,,,,,77.49139165878296,True,True,,False,False,True
42da167bbd,Michel,4,Rename some keys/names in config files,0,0,4,0,0,0,,,,,,,75.69618058204651,True,True,,False,False,True
24a3db53ec,Michel,2,Update on clock drivers to avoid warnings,1,1,3,0,0,0,0.0,0.0,,,,,168.04442071914673,True,True,,False,True,True
23347c90e2,Michel,2,Update on clock drivers to avoid warnings (similar to the last one?),1,1,3,0,0,0,0.0,0.0,,,,,135.56547093391418,True,True,,False,True,True
1ed914e341,Michel,4,Enable new functionality,0,0,0,4,0,0,,,,,,,41.33935356140137,True,True,,False,True,True
05f333b746,Michel,4,Add new functionality,0,0,0,4,0,0,,,,,,,27.94820547103882,False,True,,False,True,True
7cbeeb0553,Michel,4,Update type of a property to avoid warnings,0,0,4,0,0,0,,,,,,,3.301356792449951,True,True,,False,False,True
d3a20dcbca,Michel,4,Update doc,0,0,4,0,0,0,,,,,,,26.99521422386169,True,True,,False,False,False
1dcf37365e,Michel,4,Change in doc,0,0,4,0,0,0,,,,,,,26.171907663345337,True,True,,False,True,True
7058e68c2f,Michel,4,Remove dead code,0,0,4,0,0,0,,,,,,,30.95513868331909,True,True,,False,True,True
322842ea3c,Michel,4,Add missing free,4,0,0,0,0,0,0.0,4.0,,4.0,,memory leak,111.79888582229614,True,True,,False,True,True
75c96ccea2,Michel,4,Fix comment,0,0,4,0,0,0,,,,,,,29.37694954872132,True,True,,False,False,True
b9f3973ab3,Michel,3,Add new func,0,0,0,4,0,0,,,,,,,38.52869367599487,True,True,,False,True,True
34886e796c,Michel,4,"Its a refactoring, but also try to prevent bugs",0,4,4,0,0,0,,,,,,,26.281463384628296,False,False,,False,False,False
cf8f4462e5,Michel,4,Use alternatives for those defined in a header file,0,0,4,0,0,0,,,,,,,47.70453715324402,True,True,,False,False,True
cb55f27ac9,Michel,4,A refactor,0,0,4,0,0,0,,,,,,,53.81497240066528,True,True,,False,True,True
99bd995655,Michel,4,New func,0,0,0,4,0,0,,,,,,,28.91443991661072,False,True,,False,True,True
e945c653c8,Michel,4,Refactor: try to avoid confusion and remove unused flags,0,0,4,0,0,0,,,,,,,78.95767831802368,True,True,,False,False,True
4e05a4b329,Michel,4,Add check to detect posible failures,1,4,0,0,0,0,0.0,0.0,,,,,73.36432647705078,True,True,,False,True,True
a3b774342f,Michel,4,Check is value is too large to avoid negative shift,2,4,0,0,0,0,0.0,0.0,,,,,68.00250911712646,True,True,,False,False,True
e200904b27,Michel,4,Remove redundat code,0,0,4,0,0,0,,,,,,,50.46659278869629,True,True,,False,True,True
df22168207,Michel,4,Simplify code,0,0,4,0,0,0,,,,,,,185.1000201702118,True,True,,False,True,True
84c9829d16,Michel,4,Add a new clock,0,0,0,4,0,0,,,,,,,27.878542184829712,True,True,,False,True,True
801179b670,Michel,4,Drop no-longer necesary code,0,0,4,0,0,0,,,,,,,38.28997802734375,True,True,,False,True,True
609cc5e1a8,Michel,4,Migrate from one api to newest,0,0,3,3,0,0,,,,,,,65.95582628250122,True,True,,False,True,True
50cfde3349,Michel,4,Change doc,0,0,3,0,0,0,,,,,,,25.591293334960938,True,True,,False,True,True
3b49ae380c,Michel,4,Fix a check,4,0,0,0,0,0,4.0,0.0,,,,,61.36158990859985,True,True,,False,True,True
ee74fdf0ca,Michel,4,Refactoring,0,0,4,0,0,0,,,,,,,42.70308995246887,True,True,,False,False,False
287f1ee38a,Michel,4,Code refactor to reduce code size,0,0,4,0,0,0,,,,,,,44.915221214294434,True,True,,False,True,True
ce0091a0e0,Michel,4,Fix warnings (no fix bugs),0,0,4,0,0,0,,,,,,,62.128180503845215,True,True,,False,False,False
82cd4bacff,Michel,3,"Fix handling by changing a return value, avoiding 0s",3,3,1,0,0,0,0.0,2.0,,,,,613.4598882198334,True,True,,False,True,True
d3345fecf9,Michel,4,Add new flag,0,0,3,4,0,0,,,,,,,97.7546112537384,True,True,,False,True,True
607c04a044,Michel,4,Switch to new property but keep compaibility with the old one,0,0,4,3,0,0,,,,,,,63.755101680755615,True,True,,False,True,True
bd53e442e8,Michel,4,Add support to an architecture,0,0,0,4,0,0,,,,,,,38.98714900016785,True,True,,False,True,True
1300eec9e5,Michel,4,Fix an undefined referece,4,0,0,0,0,0,2.0,2.0,,,,,59.89135456085205,True,True,,False,False,False
da4363457f,Michel,4,Just avoid warnings,1,0,3,0,0,0,0.0,0.0,,,,,72.07863163948059,True,True,,False,False,True
c2ca36e82f,Michel,4,Remove unnecesary lock,0,0,4,0,0,0,,,,,,,31.349320650100708,True,True,,False,False,True
aabfe05a82,Michel,4,Add new support,0,0,0,4,0,0,,,,,,,40.54922199249268,True,True,,False,True,True
d3b43eb505,Michel,4,Add check for possible null and return,0,4,0,0,0,0,,,,,,,49.32153534889221,True,True,,False,False,True
690b2549b1,Michel,4,FIx to prevent memory corruption,3,4,0,0,0,0,0.0,3.0,,4.0,,"Maybe memory related fix? Not sure, looks like a BPC",72.99445414543152,False,True,,False,True,True
546a5d6122,Michel,4,Add a limit of the number of retries,0,3,0,0,0,0,,,,,,,33.48767137527466,False,False,,False,False,False
a0ccc717c4,Michel,4,Adds a check to validate that firmware don't report more instances than supported by the driver,0,4,0,0,0,0,,,,,,,71.56362318992615,True,True,,False,False,True
